10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 0 0 0 3 0 19 19 
2 1 0 0 16 1 18.78817 19 
2 1 0 0 45 1 18.99968 19 
2 0 0 0 83 0 19 19 
2 1 0 0 90 1 18.61845 19 
2 3 0 0 119 3 18.96126 19 
2 3 0 0 123 3 18.82048 19 
2 0 0 0 127 0 19 19 
2 0 0 0 149 0 19 19 
2 1 0 0 157 1 18.7707 19 
2 2 0 0 161 2 18.92243 19 
2 1 0 0 195 1 18.99992 19 
2 1 0 0 226 1 18.99217 19 
2 2 0 0 227 2 18.99144 19 
2 1 0 0 264 1 18.99591 19 
2 0 0 0 265 0 19 19 
2 5 0 0 318 5 18.28589 19 
2 0 0 0 334 0 19 19 
2 2 0 0 344 2 18.61153 19 
2 3 0 0 346 3 18.77958 19 
2 2 0 0 364 2 18.96982 19 
2 1 0 0 422 1 18.97921 19 
2 1 0 0 436 1 18.99983 19 
2 2 0 0 442 2 16.83321 19 
2 1 0 0 447 1 18.91026 19 
2 0 0 0 453 0 19 19 
2 2 0 0 498 2 18.37034 19 
2 0 0 0 564 0 19 19 
2 2 0 0 609 2 18.90677 19 
2 1 0 0 620 1 18.99975 19 
2 1 0 0 638 1 18.67448 19 
2 0 0 0 675 0 19 19 
2 0 0 0 680 0 19 19 
2 0 0 0 686 0 19 19 
2 0 0 0 727 0 19 19 
2 2 0 0 733 2 18.67909 19 
2 1 0 0 745 1 18.99255 19 
2 1 0 0 788 1 18.63267 19 
2 1 0 0 793 1 18.99903 19 
2 0 0 0 801 0 19 19 
2 0 0 0 804 0 19 19 
2 2 0 0 807 2 18.96974 19 
2 1 0 0 825 1 18.87234 19 
2 1 0 0 882 1 18.13162 19 
2 2 0 0 892 2 18.68598 19 
2 4 0 0 906 4 18.95335 19 
2 0 0 0 911 0 19 19 
2 1 0 0 946 1 18.98004 19 
2 0 0 0 970 0 19 19 
2 0 0 0 988 0 19 19 
2 0 0 0 993 0 19 19 
2 2 0 0 999 2 18.80473 19 
2 0 0 0 1000 0 19 19 
2 3 0 0 1014 3 18.98323 19 
2 0 0 0 1018 0 19 19 
2 1 0 0 1034 1 17.5768 19 
2 2 0 0 1084 2 18.61654 19 
2 0 0 0 1110 0 19 19 
2 1 0 0 1119 1 18.99844 19 
2 1 0 0 1131 1 18.53162 19 
2 2 0 0 1142 2 18.53581 19 
2 0 0 0 1144 0 19 19 
2 2 0 0 1212 2 18.74009 19 
2 0 0 0 1216 0 19 19 
2 2 0 0 1225 2 18.97332 19 
2 0 0 0 1238 0 19 19 
2 0 0 0 1243 0 19 19 
2 1 0 0 1268 1 18.97612 19 
2 3 0 0 1270 3 17.7582 19 
2 1 0 0 1318 1 17.48728 19 
2 2 0 0 1334 2 18.83357 19 
2 2 0 0 1400 2 18.92216 19 
2 2 0 0 1401 2 18.63616 19 
2 0 0 0 1406 0 19 19 
2 0 0 0 1414 0 19 19 
2 2 0 0 1417 2 18.59491 19 
2 2 0 0 1450 2 18.40827 19 
2 0 0 0 1451 0 19 19 
2 1 0 0 1464 1 18.95589 19 
2 2 0 0 1474 2 18.91907 19 
2 0 0 0 1487 0 19 19 
2 0 0 0 1494 0 19 19 
2 3 0 0 1527 3 17.7753 19 
2 0 0 0 1529 0 19 19 
2 2 0 0 1532 2 18.60001 19 
2 1 0 0 1541 1 17.44607 19 
2 2 0 0 1542 2 18.38989 19 
2 1 0 0 1550 1 18.9936 19 
2 2 0 0 1564 2 18.96458 19 
2 3 0 0 1565 3 18.97351 19 
2 1 0 0 1601 1 18.99082 19 
2 3 0 0 1602 3 18.91986 19 
2 2 0 0 1627 2 18.91802 19 
2 1 0 0 1658 1 18.995 19 
2 2 0 0 1697 2 18.81547 19 
2 1 0 0 1712 1 18.53781 19 
