10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 0 11 1 18.99845 19 
2 1 0 0 34 1 18.72496 19 
2 1 0 0 39 1 18.85612 19 
2 2 0 0 55 2 18.52104 19 
2 2 0 0 64 2 17.30549 19 
2 1 0 0 108 1 18.99794 19 
2 1 0 0 110 1 18.99295 19 
2 3 0 0 112 3 18.63756 19 
2 1 0 0 190 1 18.8608 19 
2 2 0 0 199 2 18.967 19 
2 0 0 0 206 0 19 19 
2 3 0 0 246 3 18.75605 19 
2 0 0 0 249 0 19 19 
2 1 0 0 264 1 18.5847 19 
2 1 0 0 267 1 18.99337 19 
2 2 0 0 274 2 18.99502 19 
2 0 0 0 278 0 19 19 
2 0 0 0 315 0 19 19 
2 0 0 0 323 0 19 19 
2 2 0 0 328 2 18.95791 19 
2 0 0 0 334 0 19 19 
2 1 0 0 359 1 18.99877 19 
2 0 0 0 374 0 19 19 
2 0 0 0 385 0 19 19 
2 0 0 0 386 0 19 19 
2 0 0 0 390 0 19 19 
2 0 0 0 466 0 19 19 
2 1 0 0 470 1 18.99994 19 
2 3 0 0 511 3 18.29893 19 
2 1 0 0 535 1 18.91508 19 
2 2 0 0 561 2 18.40012 19 
2 1 0 0 588 1 18.99993 19 
2 1 0 0 597 1 18.95401 19 
2 1 0 0 627 1 18.99882 19 
2 1 0 0 646 1 18.99969 19 
2 2 0 0 658 2 18.35909 19 
2 1 0 0 687 1 18.81519 19 
2 1 0 0 691 1 18.9716 19 
2 1 0 0 695 1 18.94611 19 
2 2 0 0 702 2 18.19489 19 
2 1 0 0 750 1 18.991 19 
2 1 0 0 789 1 16.1271 19 
2 1 0 0 794 1 18.95629 19 
2 1 0 0 825 1 18.91126 19 
2 1 0 0 837 1 18.9672 19 
2 0 0 0 888 0 19 19 
2 2 0 0 899 2 18.92512 19 
2 1 0 0 909 1 18.99993 19 
2 1 0 0 924 1 18.90641 19 
2 1 0 0 928 1 18.20142 19 
2 0 0 0 929 0 19 19 
2 0 0 0 930 0 19 19 
2 1 0 0 947 1 18.93269 19 
2 2 0 0 958 2 18.98438 19 
2 0 0 0 993 0 19 19 
2 2 0 0 1033 2 18.54529 19 
2 3 0 0 1091 3 18.29324 19 
2 1 0 0 1142 1 18.76696 19 
2 2 0 0 1161 2 17.20212 19 
2 0 0 0 1166 0 19 19 
2 1 0 0 1183 1 18.54665 19 
2 3 0 0 1190 3 18.84707 19 
2 1 0 0 1198 1 18.97572 19 
2 1 0 0 1202 1 16.1271 19 
2 1 0 0 1236 1 17.81485 19 
2 0 0 0 1241 0 19 19 
2 1 0 0 1244 1 18.99571 19 
2 0 0 0 1255 0 19 19 
2 2 0 0 1258 2 17.13528 19 
2 2 0 0 1287 2 18.19779 19 
2 1 0 0 1296 1 18.99822 19 
2 0 0 0 1321 0 19 19 
2 0 0 0 1344 0 19 19 
2 0 0 0 1391 0 19 19 
2 1 0 0 1393 1 18.90833 19 
2 3 0 0 1415 3 18.8145 19 
2 0 0 0 1437 0 19 19 
2 2 0 0 1447 2 18.77656 19 
2 2 0 0 1533 2 18.54884 19 
2 2 0 0 1545 2 18.71502 19 
2 1 0 0 1575 1 18.99822 19 
2 1 0 0 1580 1 18.97196 19 
2 2 0 0 1593 2 18.8734 19 
2 0 0 0 1608 0 19 19 
2 1 0 0 1622 1 18.92883 19 
2 2 0 0 1646 2 18.88696 19 
2 1 0 0 1662 1 18.9998 19 
2 0 0 0 1667 0 19 19 
2 2 0 0 1674 2 18.1542 19 
2 2 0 0 1675 2 17.62657 19 
2 2 0 0 1678 2 18.94312 19 
2 1 0 0 1733 1 18.83768 19 
2 1 0 0 1742 1 18.99822 19 
2 1 0 0 1752 1 18.25763 19 
2 1 0 0 1757 1 18.9946 19 
2 4 0 0 1763 4 18.33464 19 
2 2 0 0 1765 2 18.99321 19 
2 3 0 0 1770 3 18.45549 19 
2 0 0 0 1801 0 19 19 
2 0 0 0 1873 0 19 19 
2 1 0 0 1874 1 18.98004 19 
2 3 0 0 1901 3 18.9713 19 
2 2 0 0 1932 2 18.98069 19 
2 0 0 0 1975 0 19 19 
2 1 0 0 2010 1 18.37311 19 
2 0 0 0 2012 0 19 19 
2 0 0 0 2025 0 19 19 
2 1 0 0 2026 1 18.99993 19 
2 2 0 0 2050 2 18.56209 19 
2 2 0 0 2053 2 18.00566 19 
2 0 0 0 2074 0 19 19 
2 0 0 0 2093 0 19 19 
