10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 12 0 0 2360 12 16.51268 19 
2 3 0 0 3542 3 15.69179 19 
2 2 0 0 6892 2 16.82076 19 
2 1 0 1 9803 2 14.25243 19 
2 2 0 1 10836 3 14.70692 19 
2 7 0 0 13857 7 16.85002 19 
2 2 0 1 21129 3 14.00434 19 
2 6 0 0 26677 6 16.4048 19 
2 1 0 1 26795 2 14.69671 19 
2 2 0 0 27635 2 17.36962 19 
2 5 0 0 28830 5 17.39507 19 
2 3 0 0 29494 3 17.0107 19 
2 1 0 0 29746 1 17.13893 19 
2 6 0 0 38051 6 17.02878 19 
2 6 0 0 40640 6 16.19185 19 
2 3 0 0 41186 3 17.52145 19 
2 2 0 0 46044 2 15.82109 19 
2 3 0 1 47925 4 14.12624 19 
2 3 0 1 49028 4 14.01581 19 
2 4 0 0 49429 4 16.88444 19 
2 1 0 0 50572 1 16.1271 19 
2 4 0 0 51237 4 15.8686 19 
2 3 0 0 54659 3 15.82573 19 
2 3 0 0 54815 3 14.56665 19 
2 3 0 0 59001 3 15.28854 19 
2 4 0 0 60303 4 16.91356 19 
2 2 0 0 65540 2 15.87942 19 
2 3 0 1 72853 4 14.12432 19 
2 5 0 0 73742 5 17.02232 19 
2 1 0 1 91126 2 14.54217 19 
2 1 0 1 91249 2 14.07321 19 
2 3 0 0 92497 3 16.94986 19 
2 2 0 0 93648 2 16.58096 19 
2 2 0 0 95814 2 16.11295 19 
2 2 0 0 99342 2 17.44382 19 
END
