10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 4 0 0 3988 4 16.37997 19 
2 6 0 0 5573 6 16.75461 19 
2 2 0 0 17137 2 16.65611 19 
2 4 0 0 18046 4 16.8722 19 
2 3 0 0 20507 3 16.07596 19 
2 3 0 0 22203 3 15.99053 19 
2 4 0 0 23344 4 15.975 19 
2 2 0 1 25457 3 14.08665 19 
2 1 0 0 40708 1 16.1271 19 
2 4 0 0 47397 4 14.31444 19 
2 1 0 1 47502 2 14.2465 19 
2 2 0 1 49207 3 14.61649 19 
2 3 0 0 49901 3 15.78953 19 
2 5 0 0 53770 5 16.36423 19 
2 1 0 0 56297 1 16.1271 19 
2 2 0 0 60070 2 16.02569 19 
2 2 0 0 60417 2 15.97952 19 
2 1 0 1 65111 2 15.3026 19 
2 1 0 1 68569 2 14.03676 19 
2 2 0 0 70722 2 16.02569 19 
2 3 0 0 74900 3 15.87364 19 
2 2 0 1 79165 3 14.37696 19 
2 1 0 1 81508 2 14.11247 19 
2 1 0 1 97074 2 14.30857 19 
2 1 0 1 97210 2 14.04051 19 
2 3 0 0 98699 3 17.66533 19 
END
