10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 1 8759 2 14.41501 19 
2 1 0 1 10537 2 14.33449 19 
2 1 0 1 13558 2 14.39561 19 
2 4 0 0 18600 4 16.93378 19 
2 1 0 1 22509 2 14.27435 19 
2 4 0 0 25349 4 15.43075 19 
2 2 0 0 31883 2 15.06095 19 
2 4 0 0 42090 4 15.93234 19 
2 3 0 0 45146 3 15.12841 19 
2 2 0 1 59871 3 14.52143 19 
2 5 0 0 64930 5 15.98928 19 
2 3 0 0 68999 3 15.59404 19 
2 1 0 1 69496 2 14.48053 19 
2 2 0 1 84667 3 14.23029 19 
2 1 0 1 88099 2 14.27155 19 
2 1 0 1 88265 2 14.24928 19 
2 1 0 1 89967 2 14.17465 19 
END
