10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 6 0 0 3243 6 16.10383 19 
2 4 0 0 6694 4 15.43749 19 
2 5 0 0 12526 5 15.74947 19 
2 2 0 1 13192 3 14.07471 19 
2 2 0 0 23146 2 16.10692 19 
2 4 0 0 25901 4 16.29928 19 
2 1 0 0 30007 1 16.1271 19 
2 1 0 1 31557 2 14.42582 19 
2 1 0 1 33057 2 14.51342 19 
2 1 0 0 34351 1 16.1271 19 
2 3 0 0 53325 3 15.25556 19 
2 2 0 0 64664 2 16.04298 19 
2 1 0 1 69524 2 14.09435 19 
2 1 0 1 74559 2 14.15809 19 
2 1 0 0 75808 1 16.1271 19 
2 2 0 0 77291 2 16.05869 19 
2 2 0 1 78027 3 14.20463 19 
2 6 0 0 80612 6 16.11391 19 
2 6 0 0 81203 6 16.53309 19 
2 3 0 0 83753 3 15.97297 19 
2 1 0 1 84276 2 14.56703 19 
2 5 0 0 89370 5 15.46483 19 
2 3 0 0 89855 3 16.08461 19 
2 1 0 1 91613 2 14.18179 19 
2 1 0 1 97509 2 14.14865 19 
END
