10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 3 0 0 3177 3 17.19974 19 
2 1 0 1 10497 2 14.2749 19 
2 1 0 1 11306 2 14.25385 19 
2 4 0 0 16656 4 15.82385 19 
2 2 0 0 16846 2 16.68109 19 
2 1 0 1 21771 2 14.00454 19 
2 4 0 0 21862 4 15.89683 19 
2 3 0 1 28844 4 14.49626 19 
2 1 0 0 28896 1 16.1271 19 
2 3 0 0 33529 3 16.92888 19 
2 2 0 0 37558 2 15.99033 19 
2 2 0 0 39042 2 15.94883 19 
2 1 0 1 39929 2 14.76258 19 
2 6 0 0 44351 6 16.55803 19 
2 2 0 0 46717 2 16.1251 19 
2 6 0 0 48033 6 17.61329 19 
2 1 0 0 50426 1 16.1271 19 
2 3 0 1 50867 4 14.56647 19 
2 4 0 0 52423 4 15.67854 19 
2 6 0 1 56243 7 14.78533 19 
2 1 0 1 57653 2 14.26264 19 
2 1 0 1 60456 2 14.074 19 
2 5 0 0 62818 5 15.77387 19 
2 2 0 0 62843 2 16.01699 19 
2 2 0 1 64956 3 14.59501 19 
2 1 0 0 68718 1 16.1271 19 
2 2 0 0 75793 2 16.81752 19 
2 6 0 0 79239 6 17.09337 19 
2 1 0 1 81835 2 14.22868 19 
2 4 0 0 86729 4 14.61993 19 
2 2 0 0 92733 2 16.12173 19 
2 3 0 0 93650 3 16.10844 19 
2 2 0 0 97669 2 17.12791 19 
2 2 0 0 99604 2 15.77252 19 
END
