10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 4 0 0 1936 4 16.84725 19 
2 1 0 1 4927 2 14.0137 19 
2 1 0 1 12485 2 14.2959 19 
2 1 0 1 13984 2 14.0863 19 
2 1 0 1 14008 2 14.02574 19 
2 4 0 0 14859 4 16.60169 19 
2 2 0 1 19680 3 14.23447 19 
2 3 0 0 23003 3 16.18673 19 
2 2 0 1 29634 3 15.06226 19 
2 8 0 0 37735 8 15.42045 19 
2 2 0 1 39983 3 14.46552 19 
2 4 0 0 46217 4 15.68141 19 
2 1 0 1 61962 2 14.2949 19 
2 3 0 0 62826 3 15.88668 19 
2 1 0 1 68636 2 14.29381 19 
2 1 0 1 69687 2 14.32432 19 
2 2 0 1 80852 3 14.2568 19 
2 1 0 1 81107 2 14.31808 19 
2 2 0 1 82509 3 14.43473 19 
2 2 0 0 83601 2 16.85765 19 
2 2 0 0 87388 2 16.10888 19 
2 2 0 1 98999 3 14.00187 19 
END
