10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 1 843 2 14.39426 19 
2 2 0 0 2775 2 16.77953 19 
2 2 0 1 3387 3 14.60991 19 
2 1 0 1 3681 2 14.64569 19 
2 4 0 0 6509 4 16.58943 19 
2 2 0 0 6565 2 16.02759 19 
2 3 0 0 8097 3 16.98044 19 
2 1 0 1 8189 2 14.19523 19 
2 4 0 0 11409 4 16.91872 19 
2 2 0 0 12284 2 16.85781 19 
2 2 0 0 13870 2 15.71014 19 
2 2 0 1 14353 3 14.01166 19 
2 1 0 0 14366 1 17.51188 19 
2 3 0 0 15468 3 16.40904 19 
2 1 0 1 15795 2 14.00325 19 
2 2 0 0 17449 2 17.29479 19 
2 1 0 1 18331 2 14.25868 19 
2 1 0 1 19493 2 14.50626 19 
2 6 0 0 22237 6 17.91367 19 
2 1 0 1 22290 2 14.07935 19 
2 3 0 0 22834 3 17.37936 19 
2 4 0 0 23162 4 18.29126 19 
2 1 0 0 23725 1 16.1271 19 
2 6 0 0 24311 6 17.87411 19 
2 5 0 0 25141 5 16.31944 19 
2 4 0 0 25354 4 17.6635 19 
2 5 0 0 27935 5 14.84824 19 
2 1 0 1 29520 2 14.29038 19 
2 2 0 0 29996 2 15.84995 19 
2 2 0 0 30272 2 17.19182 19 
2 3 0 0 30887 3 16.19007 19 
2 5 0 0 31302 5 17.33247 19 
2 1 0 0 32805 1 16.83059 19 
2 2 0 0 32987 2 16.10069 19 
2 6 0 0 34422 6 17.34914 19 
2 5 0 0 34583 5 16.73273 19 
2 3 0 0 39800 3 16.14299 19 
2 1 0 1 41014 2 14.08715 19 
2 1 0 0 41262 1 16.1271 19 
2 1 0 0 44045 1 16.1271 19 
2 4 0 0 44527 4 15.86825 19 
2 2 0 0 46182 2 15.73916 19 
2 2 0 0 46699 2 16.56065 19 
2 2 0 0 46916 2 17.00045 19 
2 2 0 1 47281 3 14.39567 19 
2 1 0 0 49598 1 16.94988 19 
2 3 0 0 52289 3 14.91934 19 
2 5 0 0 52336 5 16.76196 19 
2 3 0 0 53038 3 17.15943 19 
2 3 0 0 53620 3 16.4819 19 
2 1 0 1 55218 2 14.50837 19 
2 3 0 0 55614 3 17.01293 19 
2 3 0 0 55716 3 17.50146 19 
2 2 0 1 56061 3 14.36699 19 
2 2 0 0 56200 2 16.80717 19 
2 3 0 0 63390 3 16.7748 19 
2 1 0 1 64965 2 14.05521 19 
2 3 0 1 65987 4 14.06327 19 
2 3 0 0 67421 3 16.20063 19 
2 3 0 0 67872 3 15.67934 19 
2 3 0 0 67979 3 14.49897 19 
2 1 0 0 68738 1 16.94988 19 
2 6 0 0 69244 6 17.16367 19 
2 3 0 1 69878 4 14.19368 19 
2 9 0 0 70861 9 17.21533 19 
2 1 0 1 72013 2 15.04312 19 
2 3 0 0 73002 3 15.36143 19 
2 3 0 0 78124 3 16.23452 19 
2 3 0 0 79562 3 17.02281 19 
2 2 0 0 81076 2 16.11005 19 
2 2 0 1 81663 3 14.0316 19 
2 6 0 0 83751 6 16.3302 19 
2 3 0 0 85853 3 17.55837 19 
2 3 0 0 85936 3 18.14262 19 
2 2 0 0 88936 2 17.09657 19 
2 1 0 1 90028 2 15.14152 19 
2 1 0 0 92183 1 16.83059 19 
2 1 0 1 93466 2 14.14431 19 
2 2 0 0 94589 2 16.09057 19 
2 2 0 0 94868 2 16.82226 19 
2 3 0 0 95981 3 16.95601 19 
2 1 0 1 97510 2 14.26785 19 
2 2 0 0 98326 2 16.99097 19 
2 4 0 0 98528 4 16.66866 19 
END
