10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 2 0 1 638 3 14.45305 19 
2 1 0 1 5904 2 14.3731 19 
2 1 0 1 15436 2 14.04732 19 
2 3 0 0 20188 3 15.75128 19 
2 1 0 1 25160 2 14.05705 19 
2 2 0 0 27371 2 15.9919 19 
2 1 0 1 39709 2 14.35615 19 
2 1 0 1 48134 2 14.1587 19 
2 2 0 1 55561 3 14.52841 19 
2 1 0 1 62901 2 14.04941 19 
2 2 0 0 73772 2 16.10595 19 
2 2 0 1 85744 3 14.45731 19 
2 3 0 0 86591 3 15.79985 19 
2 2 0 1 95793 3 14.09344 19 
END
