10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 0 1321 1 17.13893 19 
2 3 0 0 1539 3 16.78775 19 
2 2 0 0 1575 2 17.50788 19 
2 3 0 0 1744 3 18.76395 19 
2 4 0 0 1828 4 18.25123 19 
2 3 0 0 1929 3 16.75468 19 
2 4 0 0 1965 4 18.0973 19 
2 3 0 0 2009 3 17.52345 19 
2 4 0 0 3227 4 18.35467 19 
2 2 0 0 3347 2 17.56677 19 
2 2 0 0 3446 2 18.99116 19 
2 3 0 0 3866 3 18.26443 19 
2 2 0 0 3887 2 16.85597 19 
2 2 0 0 3995 2 18.36032 19 
2 4 0 0 4129 4 16.15481 19 
2 1 0 0 4653 1 18.91568 19 
2 2 0 0 4759 2 17.76305 19 
2 1 0 0 4812 1 16.1271 19 
2 4 0 0 4902 4 17.40245 19 
2 3 0 0 5982 3 17.96733 19 
2 4 0 0 6080 4 18.36245 19 
2 4 0 0 6173 4 16.48997 19 
2 3 0 0 6374 3 18.25568 19 
2 1 0 0 6633 1 17.85727 19 
2 5 0 0 6668 5 17.17002 19 
2 3 0 0 6806 3 18.63368 19 
2 3 0 0 7179 3 18.98881 19 
2 0 0 0 7428 0 19 19 
2 2 0 0 7666 2 17.84041 19 
2 5 0 0 7803 5 17.13543 19 
2 4 0 0 8060 4 17.09364 19 
2 5 0 0 8117 5 18.94796 19 
2 2 0 0 8160 2 18.89082 19 
2 4 0 0 8330 4 18.1353 19 
2 4 0 0 8689 4 17.45501 19 
2 2 0 0 8752 2 18.83261 19 
2 4 0 0 9341 4 17.27768 19 
2 2 0 0 9465 2 18.06716 19 
2 6 0 0 9774 6 18.13269 19 
2 4 0 0 10270 4 17.64607 19 
2 2 0 0 10615 2 18.69041 19 
2 3 0 0 11237 3 18.87802 19 
2 2 0 0 11245 2 17.56234 19 
2 1 0 1 11264 2 14.55324 19 
2 3 0 0 11269 3 18.00847 19 
2 2 0 0 11410 2 18.06518 19 
2 1 0 0 12064 1 17.78944 19 
2 1 0 0 12160 1 16.1271 19 
2 2 0 0 12171 2 17.72911 19 
2 2 0 0 12486 2 17.0848 19 
2 4 0 0 12578 4 17.45298 19 
2 4 0 0 12604 4 18.87102 19 
2 3 0 0 12609 3 17.18982 19 
2 3 0 0 13175 3 18.18892 19 
2 3 0 0 13272 3 17.42214 19 
2 4 0 0 13284 4 17.14373 19 
2 1 0 0 13352 1 17.57043 19 
2 5 0 0 13490 5 17.20709 19 
2 4 0 0 13904 4 17.89557 19 
2 2 0 0 14274 2 16.10867 19 
2 1 0 0 14631 1 16.86332 19 
2 2 0 0 14733 2 17.02392 19 
2 2 0 0 14751 2 18.82139 19 
2 3 0 0 14787 3 18.82101 19 
2 5 0 0 14851 5 16.62492 19 
2 7 0 0 14902 7 18.09414 19 
2 3 0 0 15153 3 17.81715 19 
2 3 0 0 15350 3 15.30529 19 
2 1 0 0 15415 1 16.83059 19 
2 4 0 0 16052 4 18.44208 19 
2 3 0 0 16113 3 17.39445 19 
2 4 0 0 16241 4 18.31509 19 
2 6 0 0 16330 6 17.88228 19 
2 6 0 0 16346 6 15.04424 19 
2 3 0 0 16937 3 17.64851 19 
2 2 0 0 16960 2 17.28682 19 
2 2 0 0 17244 2 16.0709 19 
2 2 0 0 17561 2 17.68985 19 
2 3 0 0 17657 3 18.79975 19 
2 2 0 0 17690 2 16.81181 19 
2 3 0 0 18216 3 16.38816 19 
2 1 0 0 18287 1 16.83059 19 
2 4 0 0 18452 4 18.89688 19 
2 2 0 0 18652 2 16.8274 19 
2 4 0 0 18898 4 16.85095 19 
2 1 0 0 19020 1 18.1423 19 
2 1 0 1 19802 2 15.28314 19 
2 7 0 0 19923 7 18.40961 19 
2 3 0 0 20339 3 16.9242 19 
2 3 0 0 20755 3 17.30324 19 
2 3 0 0 20761 3 18.17777 19 
2 2 0 0 20885 2 18.03993 19 
2 3 0 0 21358 3 18.92512 19 
2 2 0 0 21464 2 16.57346 19 
2 4 0 0 21792 4 17.97567 19 
2 3 0 0 21900 3 16.55654 19 
