10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 3 0 0 52 3 16.27733 19 
2 1 0 1 5438 2 14.74322 19 
1 1 0 1 5438 2 14.77295 19 
2 1 0 1 8281 2 14.36702 19 
2 6 0 0 17195 6 17.11301 19 
2 1 0 1 24621 2 14.31078 19 
2 1 0 1 26117 2 14.00989 19 
2 1 0 1 26556 2 14.23874 19 
2 2 0 0 28846 2 14.81723 19 
2 1 0 1 35873 2 14.13426 19 
2 2 0 0 36276 2 14.90458 19 
2 1 0 1 38130 2 15.36296 19 
2 1 0 1 38717 2 14.32342 19 
2 3 0 0 38995 3 15.89394 19 
2 3 0 0 40701 3 16.88022 19 
2 6 0 0 43464 6 17.39584 19 
2 2 0 0 45323 2 16.20751 19 
2 1 0 1 45643 2 15.08304 19 
2 1 0 1 47253 2 14.19464 19 
2 1 0 1 50711 2 14.37732 19 
2 2 0 0 55103 2 17.21 19 
2 1 0 1 58790 2 14.23761 19 
2 1 0 1 59413 2 14.12598 19 
2 2 0 1 60549 3 15.29634 19 
2 1 0 1 66040 2 14.42941 19 
2 5 0 1 72777 6 14.5982 19 
2 4 0 0 73803 4 15.45493 19 
2 2 0 0 86042 2 16.72452 19 
2 4 0 0 88706 4 16.57955 19 
2 1 0 1 91202 2 14.09246 19 
2 1 0 1 96512 2 14.58442 19 
END
