10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 5 0 0 5453 5 15.15943 19 
2 4 0 0 8234 4 15.97981 19 
2 5 0 0 8530 5 15.68934 19 
2 1 0 0 11938 1 16.1271 19 
2 1 0 1 16024 2 14.20536 19 
2 2 0 0 21708 2 15.89967 19 
2 2 0 1 22913 3 14.15685 19 
2 1 0 1 23960 2 14.06881 19 
2 3 0 0 30347 3 16.5923 19 
2 4 0 0 32758 4 16.31405 19 
2 1 0 0 33860 1 16.1271 19 
2 3 0 1 35463 4 14.40616 19 
1 1 0 1 39319 2 14.05947 19 
2 1 0 1 41837 2 15.19364 19 
1 1 0 1 44325 2 14.01657 19 
2 2 0 0 45205 2 15.6056 19 
2 3 0 0 46460 3 17.12453 19 
2 3 0 0 48483 3 15.6165 19 
2 1 0 0 50687 1 16.83059 19 
2 3 0 0 61353 3 15.45623 19 
2 2 0 0 61964 2 15.26827 19 
2 2 0 0 62375 2 16.1271 19 
2 1 0 1 64270 2 14.5829 19 
2 3 0 0 70862 3 16.51391 19 
2 2 0 0 72670 2 16.12613 19 
2 5 0 0 78555 5 16.29099 19 
2 3 0 0 81134 3 17.03923 19 
2 2 0 0 82004 2 16.00926 19 
2 5 0 0 84017 5 16.79014 19 
2 2 0 0 84354 2 16.99865 19 
2 1 0 0 85671 1 16.1271 19 
2 5 0 0 85818 5 17.27528 19 
2 1 0 0 86494 1 16.1271 19 
2 3 0 0 93736 3 15.55063 19 
2 6 0 0 97219 6 16.8576 19 
2 3 0 1 97734 4 14.00253 19 
END
