10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 1 3292 2 14.45446 19 
2 2 0 1 5765 3 14.13351 19 
2 1 0 1 11571 2 14.22977 19 
2 1 0 1 25257 2 14.49744 19 
2 2 0 0 39102 2 14.9695 19 
2 8 0 0 43654 8 16.49905 19 
2 2 0 1 44289 3 14.03826 19 
2 1 0 1 48523 2 14.92896 19 
2 4 0 0 57046 4 15.81578 19 
2 3 0 0 60878 3 14.89375 19 
2 2 0 0 76539 2 16.11191 19 
2 5 0 0 89989 5 14.85374 19 
2 4 0 0 91771 4 15.91217 19 
2 1 0 1 97200 2 14.16258 19 
END
