10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 0 1 1 18.99574 19 
2 0 0 0 9 0 19 19 
2 1 0 0 21 1 18.97549 19 
2 0 0 0 24 0 19 19 
2 0 0 0 40 0 19 19 
2 1 0 0 42 1 18.98815 19 
2 1 0 0 46 1 18.78061 19 
2 1 0 0 49 1 18.85776 19 
2 0 0 0 54 0 19 19 
2 0 0 0 55 0 19 19 
2 0 0 0 56 0 19 19 
2 2 0 0 63 2 18.95621 19 
2 0 0 0 65 0 19 19 
2 1 0 0 72 1 18.99642 19 
2 1 0 0 73 1 18.37258 19 
2 1 0 0 82 1 18.98212 19 
2 0 0 0 85 0 19 19 
2 0 0 0 86 0 19 19 
2 1 0 0 87 1 18.99356 19 
2 1 0 0 103 1 18.8765 19 
2 1 0 0 106 1 18.99163 19 
2 2 0 0 108 2 18.90761 19 
2 1 0 0 109 1 18.36201 19 
2 3 0 0 110 3 18.93443 19 
2 1 0 1 111 2 14.10073 19 
2 1 0 0 119 1 18.98648 19 
2 1 0 0 120 1 18.99267 19 
2 0 0 0 122 0 19 19 
2 0 0 0 125 0 19 19 
2 1 0 0 126 1 18.91067 19 
2 2 0 0 133 2 18.91162 19 
2 0 0 0 148 0 19 19 
2 2 0 0 167 2 18.96478 19 
2 0 0 0 173 0 19 19 
2 0 0 0 174 0 19 19 
2 0 0 0 179 0 19 19 
2 1 0 0 186 1 18.7707 19 
2 2 0 0 189 2 18.52234 19 
2 0 0 0 190 0 19 19 
2 3 0 0 195 3 18.12101 19 
2 2 0 0 198 2 18.55751 19 
2 0 0 0 200 0 19 19 
2 0 0 0 206 0 19 19 
2 0 0 0 207 0 19 19 
2 1 0 0 209 1 18.62202 19 
2 1 0 0 210 1 18.96924 19 
2 0 0 0 211 0 19 19 
2 0 0 0 219 0 19 19 
2 2 0 0 224 2 18.60298 19 
2 0 0 0 228 0 19 19 
2 0 0 0 239 0 19 19 
2 1 0 0 242 1 18.74276 19 
2 1 0 0 248 1 18.74276 19 
2 1 0 0 251 1 18.86609 19 
2 0 0 0 256 0 19 19 
2 1 0 0 269 1 18.93873 19 
2 1 0 0 274 1 18.9619 19 
2 1 0 0 280 1 18.32013 19 
2 0 0 0 283 0 19 19 
2 0 0 0 285 0 19 19 
2 1 0 0 286 1 18.77759 19 
2 1 0 0 289 1 18.87947 19 
2 0 0 0 291 0 19 19 
2 0 0 0 295 0 19 19 
2 0 0 0 296 0 19 19 
2 0 0 0 300 0 19 19 
2 2 0 0 302 2 18.84869 19 
2 0 0 0 306 0 19 19 
2 1 0 0 308 1 18.9689 19 
2 0 0 0 309 0 19 19 
