10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 3 0 0 1866 3 16.03278 19 
2 2 0 0 2495 2 16.06201 19 
2 1 0 0 2530 1 17.21085 19 
2 2 0 1 5352 3 14.26224 19 
2 3 0 0 5363 3 15.78525 19 
2 1 0 1 5446 2 14.2252 19 
2 3 0 1 6080 4 14.69766 19 
2 4 0 0 7367 4 17.28589 19 
2 1 0 0 7959 1 17.21085 19 
2 3 0 0 8085 3 17.11604 19 
2 1 0 1 9694 2 14.42994 19 
2 5 0 0 10331 5 18.03059 19 
2 5 0 0 12068 5 16.70256 19 
2 2 0 0 13729 2 17.31461 19 
2 2 0 0 13849 2 17.51865 19 
2 1 0 1 13854 2 14.04235 19 
2 1 0 0 16681 1 16.94988 19 
2 2 0 0 17912 2 15.83965 19 
2 5 0 0 17913 5 17.11764 19 
2 1 0 1 19717 2 14.06235 19 
2 1 0 0 19718 1 16.1271 19 
2 1 0 0 21144 1 17.5768 19 
2 1 0 0 21389 1 16.1271 19 
2 2 0 0 22233 2 16.33495 19 
2 3 0 0 23938 3 17.5511 19 
2 3 0 0 27540 3 17.15651 19 
2 6 0 0 28311 6 18.08027 19 
2 5 0 0 28342 5 14.51499 19 
2 5 0 0 29584 5 17.73173 19 
2 3 0 0 29600 3 16.84193 19 
2 5 0 0 29997 5 17.39307 19 
2 5 0 0 30064 5 16.29335 19 
2 2 0 0 33699 2 17.20532 19 
2 1 0 1 35421 2 14.54099 19 
2 3 0 0 36436 3 16.81191 19 
2 4 0 0 36982 4 16.33858 19 
2 4 0 0 38735 4 17.96029 19 
2 1 0 0 38840 1 17.29907 19 
2 2 0 0 39959 2 15.96047 19 
2 5 0 0 40212 5 16.38929 19 
2 1 0 0 41236 1 17.29907 19 
2 2 0 0 43578 2 16.00003 19 
2 2 0 0 44134 2 16.40227 19 
2 1 0 0 44865 1 16.1271 19 
2 5 0 0 44969 5 16.21831 19 
2 3 0 0 47023 3 17.58338 19 
2 4 0 0 47188 4 16.82404 19 
2 1 0 1 47423 2 14.1169 19 
2 4 0 0 50771 4 17.41319 19 
2 3 0 0 51562 3 18.42886 19 
2 4 0 1 53562 5 14.58522 19 
2 1 0 0 53602 1 16.1271 19 
2 1 0 1 53995 2 14.22769 19 
2 1 0 0 54006 1 17.21085 19 
2 2 0 1 54113 3 14.67838 19 
2 1 0 0 55902 1 17.44607 19 
2 5 0 0 56423 5 16.29057 19 
2 1 0 0 57280 1 17.6505 19 
2 4 0 0 57750 4 17.19689 19 
2 3 0 0 57816 3 15.98672 19 
2 4 0 0 59559 4 17.66357 19 
2 1 0 0 60452 1 16.1271 19 
2 2 0 0 60609 2 15.94523 19 
2 3 0 0 62893 3 16.95794 19 
2 5 0 0 63958 5 16.58337 19 
2 3 0 0 64119 3 16.00861 19 
2 2 0 0 64394 2 16.00551 19 
2 2 0 1 66347 3 14.1306 19 
2 1 0 0 69583 1 16.86332 19 
2 2 0 0 70062 2 16.77647 19 
2 3 0 1 70339 4 14.7111 19 
2 1 0 0 70808 1 16.94988 19 
2 1 0 0 70964 1 16.1271 19 
2 4 0 0 71607 4 17.55024 19 
2 2 0 0 72272 2 17.1838 19 
2 3 0 0 72755 3 17.33519 19 
2 4 0 0 73497 4 17.04487 19 
2 1 0 0 74782 1 17.57043 19 
2 1 0 0 75656 1 16.86332 19 
2 7 0 0 77138 7 16.64342 19 
2 3 0 0 79256 3 15.91272 19 
2 7 0 0 79564 7 16.7402 19 
2 3 0 0 80989 3 17.55695 19 
2 3 0 0 82968 3 17.16281 19 
2 4 0 0 83119 4 18.03701 19 
2 3 0 0 84443 3 17.53753 19 
2 3 0 0 84506 3 17.42509 19 
2 4 0 0 85712 4 16.41541 19 
2 4 0 1 86556 5 14.04595 19 
2 5 0 0 87797 5 17.26841 19 
2 9 0 0 88161 9 16.78144 19 
2 1 0 0 89101 1 16.1271 19 
2 1 0 0 90140 1 16.1271 19 
2 2 0 0 90438 2 18.33216 19 
2 1 0 1 92054 2 14.3007 19 
2 3 0 0 92622 3 17.96664 19 
2 2 0 0 92827 2 17.48412 19 
2 2 0 0 93178 2 16.08705 19 
2 1 0 1 93507 2 14.51811 19 
2 2 0 0 96830 2 16.10537 19 
2 2 0 0 97210 2 15.94236 19 
END
