10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 2 0 0 5320 2 16.12664 19 
2 1 0 1 7859 2 14.27392 19 
2 8 0 0 8357 8 15.84004 19 
2 1 0 1 27772 2 14.08967 19 
2 6 0 0 29947 6 17.0186 19 
2 3 0 1 33386 4 15.08799 19 
2 1 0 1 37615 2 14.11519 19 
2 3 0 0 49447 3 15.98326 19 
2 4 0 0 49845 4 14.57728 19 
2 4 0 0 51622 4 16.60948 19 
2 1 0 1 60684 2 14.00416 19 
2 1 0 1 68700 2 14.45412 19 
2 2 0 0 71453 2 16.11388 19 
2 3 0 0 72733 3 16.79835 19 
2 6 0 0 74976 6 15.3415 19 
2 3 0 0 75293 3 16.70046 19 
2 6 0 0 77655 6 15.4062 19 
2 1 0 1 79520 2 14.23456 19 
1 1 0 1 79520 2 14.18542 19 
2 4 0 0 84164 4 14.0518 19 
2 3 0 0 86062 3 14.73552 19 
2 2 0 1 89749 3 14.12204 19 
2 5 0 0 92365 5 17.31084 19 
END
