10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 1 0 0 3801 1 16.86332 19 
2 2 0 0 7092 2 16.60856 19 
2 6 0 0 7479 6 17.05153 19 
2 1 0 0 10825 1 17.81485 19 
2 2 0 0 12921 2 16.85015 19 
2 2 0 0 13051 2 17.56919 19 
2 4 0 0 15645 4 17.27857 19 
2 2 0 0 15653 2 16.84242 19 
2 1 0 1 18208 2 14.24064 19 
2 2 0 0 20099 2 16.94174 19 
2 3 0 0 20477 3 16.44929 19 
2 2 0 0 20850 2 17.06088 19 
2 1 0 1 21459 2 14.37314 19 
2 1 0 0 24288 1 16.1271 19 
2 4 0 0 27853 4 17.38039 19 
2 1 0 1 30209 2 14.05516 19 
2 2 0 0 30611 2 16.06977 19 
2 1 0 1 33358 2 14.49485 19 
2 5 0 0 34043 5 16.88871 19 
2 2 0 0 34313 2 17.77155 19 
2 3 0 0 39217 3 16.82846 19 
2 6 0 0 42113 6 17.10644 19 
2 2 0 0 42713 2 18.10957 19 
2 2 0 0 47452 2 17.42179 19 
2 3 0 0 48600 3 17.5702 19 
2 4 0 0 49806 4 16.28575 19 
2 2 0 0 50189 2 16.09862 19 
2 2 0 1 51390 3 14.81734 19 
2 4 0 0 52068 4 18.22362 19 
2 4 0 0 52760 4 17.32977 19 
2 3 0 0 52866 3 17.68781 19 
2 2 0 0 53814 2 16.69958 19 
2 1 0 1 59622 2 14.46341 19 
2 4 0 0 60425 4 15.67041 19 
2 1 0 0 61095 1 17.51188 19 
2 2 0 1 61995 3 14.39137 19 
2 2 0 1 62410 3 14.26636 19 
2 4 0 0 62626 4 17.30692 19 
1 2 0 1 66366 3 14.24036 19 
2 1 0 0 69394 1 16.1271 19 
2 3 0 0 72820 3 17.14643 19 
2 1 0 1 73889 2 14.2316 19 
2 3 0 0 75583 3 17.30657 19 
2 2 0 1 75885 3 14.85547 19 
2 6 0 0 76865 6 17.33523 19 
2 3 0 0 77673 3 16.13793 19 
2 1 0 1 78807 2 14.21796 19 
2 2 0 0 79431 2 16.94279 19 
2 1 0 0 79920 1 16.83059 19 
2 2 0 0 81005 2 15.95765 19 
2 4 0 0 81746 4 17.35319 19 
2 2 0 0 82555 2 16.12623 19 
2 5 0 0 82661 5 16.69491 19 
2 3 0 0 83376 3 17.12214 19 
2 2 0 0 84440 2 17.4868 19 
2 9 0 0 87413 9 18.19385 19 
2 2 0 0 88154 2 17.10639 19 
2 6 0 0 89992 6 17.47907 19 
2 1 0 0 90663 1 16.94988 19 
2 3 0 0 92423 3 15.93079 19 
2 2 0 0 94160 2 16.12703 19 
2 4 0 0 95886 4 17.25328 19 
2 3 0 0 95945 3 16.64281 19 
2 6 0 0 96115 6 15.54986 19 
2 2 0 0 96915 2 17.11176 19 
2 4 0 1 97306 5 14.43042 19 
1 4 0 1 97306 5 14.03498 19 
END
