10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 2 0 0 409 2 15.98992 19 
2 2 0 0 2171 2 15.6997 19 
2 1 0 1 6264 2 14.05509 19 
2 2 0 0 11222 2 15.75104 19 
2 3 0 0 13372 3 16.12648 19 
2 5 0 0 18005 5 15.74142 19 
2 1 0 1 24439 2 14.25803 19 
2 1 0 1 31474 2 14.25562 19 
2 3 0 0 37538 3 16.26632 19 
2 2 0 0 40437 2 14.07558 19 
2 3 0 0 41997 3 16.42415 19 
2 3 0 0 46506 3 14.62818 19 
2 5 0 0 49356 5 16.20088 19 
2 2 0 1 50131 3 14.67836 19 
2 2 0 1 50585 3 14.04659 19 
2 2 0 0 53493 2 16.65938 19 
2 1 0 1 63813 2 15.11269 19 
2 2 0 1 71663 3 14.42637 19 
2 1 0 0 73645 1 16.94988 19 
2 4 0 0 75252 4 16.24716 19 
2 4 0 0 76870 4 14.73502 19 
2 5 0 0 97011 5 16.64366 19 
END
