10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 2 0 0 262 2 16.07777 19 
2 2 0 0 1802 2 16.92867 19 
2 4 0 0 4317 4 17.47528 19 
2 2 0 0 6767 2 17.43221 19 
2 2 0 1 8229 3 14.57393 19 
2 2 0 0 9401 2 18.05386 19 
2 2 0 0 12414 2 16.11526 19 
2 3 0 0 12664 3 17.52727 19 
2 5 0 0 13415 5 17.35656 19 
2 2 0 0 14637 2 16.94631 19 
2 5 0 0 14670 5 16.34224 19 
2 5 0 0 15416 5 15.19545 19 
2 1 0 0 24791 1 16.83059 19 
2 2 0 0 26025 2 16.123 19 
2 2 0 0 31177 2 17.80934 19 
2 4 0 0 33814 4 15.758 19 
2 1 0 1 34703 2 14.10008 19 
2 3 0 0 35819 3 16.85522 19 
2 1 0 0 36176 1 17.21085 19 
2 5 0 0 36524 5 17.12849 19 
2 1 0 1 37365 2 14.23108 19 
2 5 0 0 38430 5 17.48667 19 
2 7 0 0 39633 7 16.58938 19 
2 1 0 0 41975 1 16.1271 19 
2 1 0 1 42116 2 14.66811 19 
2 3 0 0 42885 3 16.18563 19 
2 2 0 0 43119 2 16.77918 19 
2 5 0 0 44006 5 15.18616 19 
2 2 0 0 44265 2 17.13884 19 
2 3 0 0 44960 3 15.54061 19 
2 3 0 0 46807 3 16.77202 19 
2 1 0 0 46857 1 17.21085 19 
2 2 0 0 47080 2 16.79195 19 
2 5 0 0 48246 5 17.39185 19 
2 1 0 1 50027 2 14.501 19 
2 2 0 0 50206 2 15.97228 19 
2 3 0 0 51404 3 15.57424 19 
2 1 0 0 54163 1 16.86332 19 
2 1 0 1 55811 2 14.14229 19 
2 3 0 0 57301 3 16.74986 19 
2 5 0 0 58662 5 16.2288 19 
2 4 0 0 60378 4 18.01994 19 
2 1 0 1 60895 2 14.38048 19 
2 1 0 1 61887 2 14.17698 19 
2 2 0 0 65200 2 16.87396 19 
2 2 0 0 65364 2 17.21078 19 
2 5 0 0 75634 5 16.59342 19 
2 2 0 1 77530 3 14.16125 19 
2 1 0 0 82115 1 16.1271 19 
2 4 0 0 85269 4 17.27603 19 
2 3 0 0 86268 3 17.43165 19 
2 1 0 0 93500 1 16.1271 19 
2 1 0 1 95968 2 14.10113 19 
2 3 0 0 96414 3 16.03758 19 
END
