10^5 initial neutrinos of type 2 at energy 1E+19. 
type, NC, CC, DC, InitNuNum, Gen, OutEnergy, InitEnergy.
2 3 0 0 760 3 17.43533 19 
2 6 0 0 1219 6 18.34046 19 
2 1 0 0 1512 1 18.70895 19 
2 5 0 0 1737 5 17.74439 19 
2 3 0 0 1800 3 17.13127 19 
2 3 0 0 2212 3 18.4856 19 
2 4 0 0 2263 4 18.57547 19 
2 4 0 0 2289 4 17.70133 19 
2 2 0 0 2340 2 16.61331 19 
2 1 0 0 2400 1 18.20142 19 
2 3 0 0 2840 3 16.46391 19 
2 5 0 0 2922 5 18.37382 19 
2 2 0 0 3232 2 17.43961 19 
2 1 0 0 3672 1 16.86332 19 
2 3 0 0 3815 3 16.89946 19 
2 4 0 0 4243 4 17.63363 19 
2 2 0 0 4432 2 17.23555 19 
2 4 0 0 4892 4 17.40685 19 
2 2 0 0 4989 2 18.45456 19 
2 3 0 0 5197 3 18.05896 19 
2 5 0 0 5903 5 18.10717 19 
2 3 0 0 6184 3 17.7014 19 
2 1 0 0 7602 1 17.5768 19 
2 1 0 1 7664 2 14.28839 19 
2 2 0 0 7666 2 18.34945 19 
2 1 0 0 8017 1 16.94988 19 
2 4 0 0 8211 4 17.88934 19 
2 4 0 0 8916 4 17.02859 19 
2 3 0 0 9086 3 17.78432 19 
2 1 0 0 9129 1 16.1271 19 
2 2 0 0 9377 2 16.8472 19 
2 2 0 0 9622 2 17.30539 19 
2 3 0 0 10004 3 17.5415 19 
2 2 0 0 10466 2 16.1271 19 
2 2 0 0 10661 2 17.58059 19 
2 5 0 0 10875 5 17.30434 19 
2 3 0 0 10975 3 16.2335 19 
2 4 0 0 11312 4 18.98165 19 
2 2 0 0 12069 2 16.94859 19 
2 1 0 0 13607 1 16.1271 19 
2 2 0 0 14805 2 18.39681 19 
2 5 0 0 15625 5 18.35189 19 
2 1 0 1 15766 2 14.03196 19 
2 3 0 0 15854 3 18.94403 19 
2 2 0 0 16583 2 18.9964 19 
2 2 0 0 17124 2 17.42981 19 
2 7 0 0 17172 7 17.69849 19 
2 2 0 0 17659 2 17.78531 19 
2 3 0 0 17694 3 16.33091 19 
2 1 0 0 17705 1 17.21085 19 
2 2 0 0 18475 2 18.32602 19 
2 3 0 0 19059 3 18.83505 19 
2 1 0 0 19192 1 16.83059 19 
2 3 0 0 20268 3 17.94142 19 
2 5 0 0 21326 5 18.12482 19 
2 3 0 0 21503 3 17.7679 19 
2 5 0 0 21809 5 17.32454 19 
2 2 0 0 21848 2 17.22995 19 
2 4 0 0 21933 4 17.91077 19 
2 7 0 0 22725 7 17.35476 19 
2 3 0 0 23004 3 18.84224 19 
2 2 0 0 24115 2 18.57978 19 
2 6 0 0 24753 6 18.11893 19 
2 1 0 0 24865 1 18.59632 19 
2 2 0 0 25208 2 18.93873 19 
2 1 0 0 26252 1 16.86332 19 
2 3 0 0 26496 3 16.10011 19 
2 4 0 0 26522 4 18.70501 19 
2 6 0 0 26558 6 17.27622 19 
2 2 0 0 26562 2 17.5573 19 
2 5 0 0 27273 5 16.72162 19 
2 3 0 0 27614 3 17.59253 19 
2 3 0 0 27839 3 18.02586 19 
2 3 0 0 28234 3 16.44216 19 
2 3 0 0 29029 3 18.05171 19 
2 2 0 0 29186 2 18.84058 19 
2 2 0 0 30559 2 15.86297 19 
2 2 0 0 30695 2 16.67779 19 
2 3 0 0 30929 3 17.49757 19 
2 8 0 0 32147 8 17.09321 19 
2 2 0 0 32220 2 18.83227 19 
2 5 0 0 32409 5 17.34317 19 
2 2 0 0 32739 2 18.08804 19 
2 3 0 0 33015 3 18.82096 19 
2 6 0 0 33204 6 18.27614 19 
2 4 0 0 33241 4 17.86117 19 
2 3 0 0 33660 3 17.28566 19 
2 2 0 0 33933 2 17.39438 19 
2 3 0 0 34769 3 17.63892 19 
2 1 0 0 34834 1 18.54665 19 
2 3 0 0 35139 3 15.86599 19 
2 2 0 0 36305 2 16.12613 19 
2 1 0 0 36330 1 17.44607 19 
2 3 0 0 36930 3 16.52979 19 
2 2 0 0 37353 2 18.30326 19 
2 2 0 0 37513 2 17.1306 19 
2 4 0 0 37517 4 17.22372 19 
2 5 0 0 37544 5 18.60024 19 
2 1 0 1 37550 2 14.17049 19 
2 3 0 0 37879 3 18.51585 19 
2 2 0 0 38204 2 17.132 19 
2 3 0 0 38354 3 17.70489 19 
2 2 0 0 38507 2 17.56736 19 
2 2 0 0 38660 2 18.99249 19 
2 1 0 0 38946 1 18.99294 19 
2 2 0 0 40695 2 18.56261 19 
2 6 0 0 40894 6 18.65572 19 
2 4 0 0 40978 4 17.23151 19 
2 6 0 0 42077 6 17.87912 19 
2 2 0 0 42377 2 16.86225 19 
2 3 0 0 42524 3 17.21021 19 
2 7 0 0 42565 7 18.60136 19 
2 3 0 0 43053 3 17.50429 19 
2 2 0 0 43607 2 16.13044 19 
2 2 0 0 44404 2 17.94158 19 
2 3 0 0 44491 3 18.88839 19 
2 7 0 0 44511 7 16.75322 19 
2 3 0 0 44616 3 17.59616 19 
2 1 0 0 44849 1 16.86332 19 
2 2 0 0 45289 2 16.81615 19 
2 4 0 0 46700 4 18.79947 19 
2 1 0 0 47009 1 16.83059 19 
2 2 0 0 47482 2 17.93884 19 
2 3 0 0 47591 3 17.56946 19 
2 1 0 0 47989 1 18.03635 19 
2 2 0 0 48379 2 17.43103 19 
2 3 0 0 48409 3 17.28441 19 
2 1 0 0 48681 1 17.13893 19 
2 3 0 0 49055 3 18.04066 19 
2 5 0 0 49728 5 18.52346 19 
2 5 0 0 50571 5 16.90885 19 
2 3 0 0 50630 3 17.01337 19 
2 5 0 0 50803 5 18.33008 19 
2 3 0 0 51307 3 18.61748 19 
2 2 0 0 51350 2 17.49262 19 
2 6 0 0 52012 6 17.59429 19 
2 2 0 0 52286 2 16.80849 19 
2 2 0 0 53110 2 16.81181 19 
2 4 0 0 53130 4 18.28168 19 
2 3 0 0 53220 3 18.31801 19 
2 1 0 0 53577 1 17.13893 19 
2 3 0 0 54383 3 18.93578 19 
2 2 0 0 54445 2 17.36212 19 
2 4 0 0 54552 4 17.79664 19 
2 5 0 0 54676 5 17.62458 19 
2 4 0 0 55021 4 18.78008 19 
2 1 0 1 55424 2 15.30217 19 
2 4 0 0 56446 4 18.15297 19 
2 5 0 0 56583 5 16.96399 19 
2 3 0 0 56640 3 16.07393 19 
2 4 0 0 56693 4 18.6449 19 
2 1 0 0 57662 1 17.5768 19 
2 1 0 0 57954 1 16.94988 19 
2 2 0 0 58702 2 17.33404 19 
2 3 0 0 58735 3 17.33686 19 
2 5 0 0 59044 5 18.0549 19 
2 1 0 1 59735 2 15.22919 19 
2 4 0 0 59872 4 18.18149 19 
2 2 0 0 60382 2 17.12895 19 
2 1 0 0 60464 1 17.95598 19 
2 5 0 0 61149 5 18.48619 19 
2 2 0 0 61193 2 16.08194 19 
2 2 0 0 61447 2 17.08066 19 
2 2 0 0 61620 2 17.80586 19 
2 1 0 0 61882 1 16.1271 19 
2 2 0 0 62015 2 16.78992 19 
2 2 0 0 62190 2 16.71051 19 
2 2 0 0 62615 2 16.83941 19 
2 1 0 0 62794 1 16.1271 19 
2 4 0 0 63015 4 17.81199 19 
2 1 0 0 64458 1 16.1271 19 
2 4 0 0 64584 4 17.06989 19 
2 1 0 0 65925 1 17.21085 19 
2 4 0 0 66019 4 17.97958 19 
2 6 0 0 66650 6 17.15392 19 
2 4 0 0 67002 4 17.47942 19 
2 1 0 0 67196 1 17.55847 19 
2 1 0 1 67283 2 14.36899 19 
1 1 0 1 67283 2 14.30115 19 
2 2 0 0 67364 2 18.17487 19 
2 2 0 0 68760 2 18.24529 19 
2 2 0 0 69430 2 18.07257 19 
2 3 0 0 70600 3 18.12021 19 
2 2 0 0 70734 2 18.43656 19 
2 2 0 0 71186 2 18.99265 19 
2 2 0 0 72007 2 18.13159 19 
2 1 0 0 72320 1 18.16504 19 
2 4 0 0 72362 4 17.11988 19 
2 2 0 0 74036 2 17.33068 19 
2 1 0 0 74633 1 18.063 19 
2 1 0 0 74992 1 18.05419 19 
2 3 0 0 75042 3 17.40226 19 
2 3 0 0 75990 3 18.74691 19 
2 2 0 0 76073 2 17.14059 19 
2 3 0 0 76669 3 18.1979 19 
2 2 0 0 77027 2 16.85188 19 
2 2 0 0 77197 2 17.20722 19 
2 3 0 0 77346 3 17.23895 19 
2 4 0 0 77381 4 18.20545 19 
2 2 0 0 77947 2 17.45557 19 
2 3 0 0 77989 3 17.28458 19 
2 1 0 0 78048 1 16.83059 19 
2 2 0 0 78049 2 18.55707 19 
2 4 0 0 78371 4 18.65268 19 
2 1 0 0 79250 1 17.5768 19 
2 2 0 0 79608 2 16.84811 19 
2 5 0 0 79769 5 17.81778 19 
2 7 0 0 80290 7 18.4766 19 
2 1 0 0 80353 1 17.13893 19 
2 1 0 0 80462 1 18.33586 19 
2 4 0 0 80503 4 17.06889 19 
2 1 0 0 80604 1 18.97173 19 
2 2 0 0 80736 2 18.73128 19 
2 4 0 0 80858 4 16.83692 19 
2 4 0 0 82176 4 18.16829 19 
2 1 0 0 83940 1 19 19 
2 7 0 0 83954 7 18.54551 19 
2 2 0 0 84714 2 17.96688 19 
2 2 0 0 85162 2 15.93946 19 
2 4 0 0 85774 4 16.89268 19 
2 5 0 0 85909 5 17.25057 19 
2 1 0 0 86908 1 16.1271 19 
2 4 0 0 87461 4 18.75941 19 
2 4 0 0 87891 4 16.67851 19 
2 2 0 0 88885 2 16.82404 19 
2 6 0 0 89135 6 17.57512 19 
2 4 0 0 89607 4 18.85433 19 
2 1 0 0 89903 1 18.09219 19 
2 3 0 0 90318 3 17.34883 19 
2 1 0 0 91022 1 16.94988 19 
2 4 0 0 91027 4 17.42044 19 
2 6 0 0 91559 6 17.25 19 
2 4 0 0 91850 4 17.37306 19 
2 3 0 0 92281 3 18.357 19 
2 2 0 0 92544 2 18.01196 19 
2 3 0 0 92928 3 17.11554 19 
2 6 0 0 93867 6 18.1369 19 
2 5 0 0 94252 5 18.37159 19 
2 3 0 0 94286 3 16.57438 19 
2 3 0 0 94452 3 18.34581 19 
2 2 0 0 94760 2 16.12171 19 
2 1 0 0 95303 1 16.1271 19 
2 3 0 0 95447 3 16.61155 19 
2 2 0 0 95792 2 17.29804 19 
2 5 0 0 96205 5 18.29601 19 
2 2 0 0 96750 2 17.10022 19 
2 5 0 0 96799 5 17.05046 19 
2 5 0 0 98362 5 17.54087 19 
2 1 0 1 98887 2 14.36888 19 
2 2 0 0 99012 2 17.40165 19 
2 2 0 0 99100 2 17.63425 19 
END
